date;weekly average date -6 months;weekly average date -5 months;weekly average date -4 months;weekly average date -3 months;weekly average date -2 months;weekly average date -1 months;;6 months average;;Balance
2021-07-26;-9003;-12804;-11415;-11794;-11769;-9913;;-11116;;5727132
2021-06-27;-3534;-8000;-11776;-11496;-11029;-11769;;-9601;;5717531
2021-06-28;-5531;-8000;-18164;-10032;-11199;-18839;;-11961;;5643570
2021-06-29;-5685;-7482;-18164;-9730;-11199;-11282;;-10590;;5604020
2021-06-30;-5685;-6040;-18164;-8306;-13710;-10097;;-10334;;5593686
2021-07-01;-10471;-5967;-16152;-8306;-13764;-11419;;-11013;;5372673
2021-07-02;-8939;-5468;-16868;-1790;-16277;-11419;;-10127;;5468993
2021-07-03;-9391;-6471;-16868;-12300;-14940;-11419;;-11898;;5457095
2021-07-04;-8062;-6471;-16868;-11599;-14216;-6088;;-10551;;5446544
2021-07-05;-8831;-6808;-35080;-11900;-14046;-8157;;-14137;;5423407
2021-07-06;-12633;-6550;-36552;-13572;-14046;-8697;;-15342;;5395065
2021-07-07;-12633;-9165;-27969;-13572;-8154;-9781;;-13546;;5351519
2021-07-08;-9545;-10386;-29799;-13572;-9438;-8423;;-13527;;5256636
2021-07-09;-15002;-12606;-30847;-16543;-7071;-8423;;-15082;;5881104
2021-07-10;-14064;-12606;-30847;-21632;-7645;-8423;;-15869;;5865235
2021-07-11;-15467;-12606;-30847;-21849;-5963;-11612;;-16391;;5848844
2021-07-12;-14858;-13332;-7723;-22729;-5963;-9970;;-12429;;5836415
2021-07-13;-11056;-13548;-12805;-22598;-5963;-9685;;-12609;;5835759
2021-07-14;-11056;-10951;-12937;-22598;-15256;-8693;;-13582;;5802177
2021-07-15;-13003;-11758;-11169;-22598;-13727;-10480;;-13789;;5788388
2021-07-16;-10110;-10152;-9444;-24615;-14115;-10480;;-13153;;5775235
2021-07-17;-10447;-10152;-9444;-10097;-12309;-10480;;-10488;;5764747
2021-07-18;-11320;-10152;-9444;-10097;-13473;-9018;;-10584;;5754163
2021-07-19;-11477;-10902;-13170;-9217;-13473;-9009;;-11208;;5742955
2021-07-20;-11477;-11544;-6936;-11118;-13473;-10225;;-10795;;5717160
2021-07-21;-11477;-12887;-8592;-11118;-2882;-10043;;-9500;;5687660
2021-07-22;-8993;-13960;-7672;-11118;-11089;-8537;;-10228;;5667432
2021-07-23;-10096;-13239;-8626;-10810;-11415;-10125;;-10718;;5451714
2021-07-24;-11381;-13239;-8626;-9524;-11411;-11497;;-10946;;5440768
2021-07-25;-8437;-13239;-8626;-9536;-11769;-9739;;-10224;;5430544
2021-07-26;-9003;-12804;-11415;-11794;-11769;-9913;;-11116;;5404428
2021-06-27;-3534;-8000;-11776;-11496;-11029;-11769;;-9601;;5381827
2021-06-28;-5531;-8000;-18164;-10032;-11199;-18839;;-11961;;5343866
2021-06-29;-5685;-7482;-18164;-9730;-11199;-11282;;-10590;;5333276
2021-06-30;-5685;-6040;-18164;-8306;-13710;-10097;;-10334;;5322942
2021-07-01;-10471;-5967;-16152;-8306;-13764;-11419;;-11013;;5311929
2021-07-01;-10471;-5967;-16152;-8306;-13764;-11419;;-11013;;5300916
2021-07-02;-8939;-5468;-16868;-1790;-16277;-11419;;-10127;;5285589
2021-07-03;-9391;-6471;-16868;-12300;-14940;-11419;;-11898;;5343338
2021-07-04;-8062;-6471;-16868;-11599;-14216;-6088;;-10551;;5332787
2021-07-05;-8831;-6808;-35080;-11900;-14046;-8157;;-14137;;5284650
2021-07-06;-12633;-6550;-36552;-13572;-14046;-8697;;-15342;;5161952
2021-07-07;-12633;-9165;-27969;-13572;-8154;-9781;;-13546;;5148406
2021-07-08;-9545;-10386;-29799;-13572;-9438;-8423;;-13527;;5134879
2021-07-09;-15002;-12606;-30847;-16543;-7071;-8423;;-15082;;5119797
2021-07-10;-14064;-12606;-30847;-21632;-7645;-8423;;-15869;;5771478
2021-07-11;-15467;-12606;-30847;-21849;-5963;-11612;;-16391;;5755087
2021-07-12;-14858;-13332;-7723;-22729;-5963;-9970;;-12429;;5742658
2021-07-13;-11056;-13548;-12805;-22598;-5963;-9685;;-12609;;5673087
2021-07-14;-11056;-10951;-12937;-22598;-15256;-8693;;-13582;;5659505
2021-07-15;-13003;-11758;-11169;-22598;-13727;-10480;;-13789;;5645716
2021-07-16;-10110;-10152;-9444;-24615;-14115;-10480;;-13153;;5632563
2021-07-17;-10447;-10152;-9444;-10097;-12309;-10480;;-10488;;5580075
2021-07-18;-11320;-10152;-9444;-10097;-13473;-9018;;-10584;;5569491
2021-07-19;-11477;-10902;-13170;-9217;-13473;-9009;;-11208;;5558283
2021-07-20;-11477;-11544;-6936;-11118;-13473;-10225;;-10795;;5518488
2021-07-21;-11477;-12887;-8592;-11118;-2882;-10043;;-9500;;5508988
2021-07-22;-8993;-13960;-7672;-11118;-11089;-8537;;-10228;;5498760
2021-07-23;-10096;-13239;-8626;-10810;-11415;-10125;;-10718;;5488042
2021-07-24;-11381;-13239;-8626;-9524;-11411;-11497;;-10946;;5435096
2021-07-25;-8437;-13239;-8626;-9536;-11769;-9739;;-10224;;5419872
2021-07-26;-9003;-12804;-11415;-11794;-11769;-9913;;-11116;;5393756
2021-06-27;-3534;-8000;-11776;-11496;-11029;-11769;;-9601;;5358155
2021-06-28;-5531;-8000;-18164;-10032;-11199;-18839;;-11961;;5346194
2021-06-29;-5685;-7482;-18164;-9730;-11199;-11282;;-10590;;5335604
2021-06-30;-5685;-6040;-18164;-8306;-13710;-10097;;-10334;;5325270
2021-07-01;-10471;-5967;-16152;-8306;-13764;-11419;;-11013;;5272257
