date;weekly average date -6 months;weekly average date -5 months;weekly average date -4 months;weekly average date -3 months;weekly average date -2 months;weekly average date -1 months;;6 months average;;Balance
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1019808
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;968925
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;951663
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;941627
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;934590
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;928239
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;918487
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;920467
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;907265
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;901160
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;886430
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;880467
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;873946
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;834327
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;942528
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;944088
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;926278
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;917496
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;911492
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;905375
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;897124
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;798410
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;972450
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1240233
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1231496
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1225932
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1220888
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1184701
2016-11-15;-5910;-6592;-5637;-6089;-6670;-5143;;-6007;;1202694
2016-11-16;-6463;-6592;-6013;-5007;-5809;-5367;;-5875;;1196819
2016-11-17;-6833;-3500;-6063;-5007;-6648;-5693;;-5624;;1191195
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1175193
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1168810
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1161548
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1151512
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1140475
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1128124
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1090352
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1094612
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1087854
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1081749
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1066859
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1055896
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1049375
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1157076
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1164656
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1158846
